,Course Code,Course Title,HEI,R1 Points 2021,R2 Points 2021,R1 Points 2020,R2 Points 2020,R1 Points 2019
0,AL605,Music and Instrument Technology,Athlone Institute of Technology,211,,,,
1,AL630,Pharmacy Technician,Athlone Institute of Technology,308,,,,
2,AL631,Dental Nursing,Athlone Institute of Technology,311,,,,
3,AL632,Applied Science,Athlone Institute of Technology,297,,,,
4,AL650,Business,Athlone Institute of Technology,,,,,
5,AL660,Culinary Arts,Athlone Institute of Technology,,,,,
6,AL661,Bar Supervision,Athlone Institute of Technology,,,,,
7,AL663,Business (Sport and Recreation),Athlone Institute of Technology,,,,,
8,AL701,Computer Engineering for Network Infrastructure,Athlone Institute of Technology,207,,,,
9,AL702,Software Design in Artificial Intelligence for Cloud Computing,Athlone Institute of Technology,220,,,,
10,AL703,Software Design for Virtual Reality and Gaming,Athlone Institute of Technology,211,,,,
11,AL704,Computer Engineering,Athlone Institute of Technology,210,,,,
12,AL705,Software Design for Mobile Apps and Connected Devices,Athlone Institute of Technology,250,,,,
13,AL710,Mechanical Engineering,Athlone Institute of Technology,243,,,,
14,AL711,Mechanical Engineering and Renewable Energy,Athlone Institute of Technology,238,,,,
15,AL712,Automation and Robotics,Athlone Institute of Technology,247,,,,
16,AL713,Engineering (Common Entry to Automation and Robotics/Renewable/Mech Eng),Athlone Institute of Technology,226,,,,
17,AL718,Music and Sound Engineering,Athlone Institute of Technology,242,,,,
18,AL721,Civil Engineering,Athlone Institute of Technology,242,,,,
19,AL730,Biotechnology,Athlone Institute of Technology,261,,,,
20,AL731,Veterinary Nursing,Athlone Institute of Technology,421,,,,
21,AL734,Pharmaceutical Sciences (Drug Development and Analysis),Athlone Institute of Technology,244,,,,
22,AL740,Exercise and Health Science,Athlone Institute of Technology,251,,,,
23,AL751,Digital Marketing,Athlone Institute of Technology,241,,,,
24,AL752,Business,Athlone Institute of Technology,223,,,,
25,AL761,Hotel and Leisure Management,Athlone Institute of Technology,,,,,
26,AL763,Graphic Design (portfolio),Athlone Institute of Technology,642,,,,
27,AL764,Early Years Care and Education,Athlone Institute of Technology,260,,,,
28,AL765,Applied Social Studies in Social Care,Athlone Institute of Technology,300,,,,
29,AL801,Software Design for Virtual Reality and Gaming,Athlone Institute of Technology,300,,,,
30,AL802,Software Design in Artificial Intelligence for Cloud Computing,Athlone Institute of Technology,313,,,,
31,AL803,Software Design for Mobile Apps and Connected Devices,Athlone Institute of Technology,350,,,,
32,AL805,Computer Engineering for Network Infrastructure,Athlone Institute of Technology,321,,,,
33,AL810,Quantity Surveying,Athlone Institute of Technology,328,,,,
34,AL811,Civil Engineering,Athlone Institute of Technology,,,,,
35,AL820,Mechanical and Polymer Engineering,Athlone Institute of Technology,327,,,,
36,AL830,General Nursing,Athlone Institute of Technology,451,444,,,
37,AL832,Mental Health Nursing,Athlone Institute of Technology,440,431,,,
38,AL835,Pharmacology,Athlone Institute of Technology,356,,,,
39,AL836,Nutrition and Health Science,Athlone Institute of Technology,346,,,,
40,AL837,Sports Science with Exercise Physiology,Athlone Institute of Technology,357,,,,
41,AL838,Biotechnology,Athlone Institute of Technology,324,,,,
42,AL839,Microbiology,Athlone Institute of Technology,325,,,,
43,AL840,Pharmaceutical Sciences,Athlone Institute of Technology,346,,,,
44,AL841,Athletic and Rehabilitation Therapy,Athlone Institute of Technology,477,476,,,
45,AL842,Bioveterinary Science,Athlone Institute of Technology,338,,,,
46,AL843,Physical Activity and Health Science,Athlone Institute of Technology,306,,,,
47,AL849,Culinary Entrepreneurship,Athlone Institute of Technology,297,,,,
48,AL850,Business,Athlone Institute of Technology,309,,,,
49,AL851,Business and Law,Athlone Institute of Technology,302,,,,
50,AL852,Accounting,Athlone Institute of Technology,336,,,,
51,AL854,Sport Management (with international placement),Athlone Institute of Technology,300,299,,,
52,AL855,Hospitality Management (with international placement),Athlone Institute of Technology,309,,,,
53,AL857,Digital Marketing,Athlone Institute of Technology,304,,,,
54,AL859,International Business,Athlone Institute of Technology,308,,,,
55,AL860,Social Care Practice,Athlone Institute of Technology,301,,,,
56,AL861,Animation and Illustration (portfolio),Athlone Institute of Technology,575,,,,
57,AL863,Graphic and Digital Design (portfolio),Athlone Institute of Technology,747,,,,
58,AL864,Early Years Care and Education,Athlone Institute of Technology,306,,,,
59,AL870,Applied Psychology,Athlone Institute of Technology,484,467,,,
60,CW006,Business,"Institute of Technology, Carlow",171,157,,,
61,CW018,Business (options),"Institute of Technology, Carlow",307,,,,
62,CW027,Sustainable Farm Management and Agribusiness,"Institute of Technology, Carlow",236,222,,,
63,CW028,Early Childhood Education and Care,"Institute of Technology, Carlow",260,,,,
64,CW037,Business (options),"Institute of Technology, Carlow",279,,,,
65,CW038,Art (portfolio),"Institute of Technology, Carlow",700,,,,
66,CW047,Visual Communications and Design,"Institute of Technology, Carlow",241,,,,
67,CW048,Creative Computing and Digital Innovation,"Institute of Technology, Carlow",,,,,
68,CW057,Art (portfolio),"Institute of Technology, Carlow",700,,,,
69,CW058,Tourism and Event Management,"Institute of Technology, Carlow",292,,,,
70,CW068,Applied Social Studies in Professional Social Care,"Institute of Technology, Carlow",250,,,,
71,CW077,Tourism and Event Management,"Institute of Technology, Carlow",223,,,,
72,CW078,Sustainable Farm Management and Agribusiness,"Institute of Technology, Carlow",270,,,,
73,CW087,Creative Computing and Digital Innovation,"Institute of Technology, Carlow",,,,,
74,CW088,Visual Communications and Design,"Institute of Technology, Carlow",270,,,,
75,CW106,Physiology and Health Science,"Institute of Technology, Carlow",451,,,,
76,CW107,Analytical Science,"Institute of Technology, Carlow",261,,,,
77,CW108,Science (options),"Institute of Technology, Carlow",266,,,,
78,CW116,Pharmacy Technician Studies,"Institute of Technology, Carlow",224,,,,
79,CW117,Biosciences,"Institute of Technology, Carlow",215,,,,
80,CW126,Science - Applied Biology or Applied Chemistry,"Institute of Technology, Carlow",251,,,,
81,CW128,Brewing and Distilling,"Institute of Technology, Carlow",307,,,,
82,CW138,Sport and Exercise Science,"Institute of Technology, Carlow",430,423,,,
83,CW148,Strength and Conditioning,"Institute of Technology, Carlow",388,,,,
84,CW188,Sport Rehabilitation and Athletic Therapy,"Institute of Technology, Carlow",451,,,,
85,CW206,Computing - Applications or Programming,"Institute of Technology, Carlow",236,,,,
86,CW207,Software Development,"Institute of Technology, Carlow",245,,,,
87,CW208,Computer Games Development,"Institute of Technology, Carlow",272,,,,
88,CW217,Information Technology Management,"Institute of Technology, Carlow",269,,,,
89,CW227,Cybercrime and IT Security,"Institute of Technology, Carlow",220,,,,
90,CW237,Computing in Interactive Digital Art and Design,"Institute of Technology, Carlow",227,,,,
91,CW238,Software Development,"Institute of Technology, Carlow",295,,,,
92,CW248,Information Technology Management,"Institute of Technology, Carlow",293,,,,
93,CW258,Cybercrime and IT Security,"Institute of Technology, Carlow",292,,,,
94,CW268,Computing in Interactive Digital Art and Design,"Institute of Technology, Carlow",291,,,,
95,CW407,Architectural Technology,"Institute of Technology, Carlow",234,,,,
96,CW417,Construction Management with Building Services,"Institute of Technology, Carlow",225,205,,,
97,CW427,Civil Engineering,"Institute of Technology, Carlow",208,,,,
98,CW438,Construction (options),"Institute of Technology, Carlow",260,251,,,
99,CW468,Architectural Technology,"Institute of Technology, Carlow",291,283,,,
100,CW478,Civil Engineering,"Institute of Technology, Carlow",465,,,,
101,CW507,Aircraft Systems,"Institute of Technology, Carlow",293,,,,
102,CW517,Mechanical Engineering,"Institute of Technology, Carlow",290,280,,,
103,CW527,Electronic Engineering,"Institute of Technology, Carlow",226,,,,
104,CW547,TV and Media Production,"Institute of Technology, Carlow",303,,,,
105,CW548,Mechanical Engineering,"Institute of Technology, Carlow",330,328,,,
106,CW558,Electronic Systems,"Institute of Technology, Carlow",280,,,,
107,CW568,Aerospace Engineering,"Institute of Technology, Carlow",371,359,,,
108,CW578,TV and Media Production,"Institute of Technology, Carlow",318,,,,
109,CW706,Legal Studies,"Institute of Technology, Carlow",174,,,,
110,CW707,Industrial Design,"Institute of Technology, Carlow",241,,,,
111,CW708,Law - LLB,"Institute of Technology, Carlow",292,,,,
112,CW717,Professional Social Care Practice,"Institute of Technology, Carlow",271,262,,,
113,CW728,Product Design Innovation,"Institute of Technology, Carlow",246,,,,
114,CW748,Early Childhood Education and Care,"Institute of Technology, Carlow",290,,,,
115,CW758,Professional Social Care Practice,"Institute of Technology, Carlow",360,358,,,
116,CW807,Sport Coaching and Business Management - GAA (portfolio),"Institute of Technology, Carlow",700,,,,
117,CW808,Media and Public Relations,"Institute of Technology, Carlow",247,,,,
118,CW817,Sport Coaching and Business Management - Rugby (portfolio),"Institute of Technology, Carlow",700,,,,
119,CW827,Sport Coaching and Business Management - Soccer (portfolio),"Institute of Technology, Carlow",700,,,,
120,CW837,Digital Marketing with Analytics,"Institute of Technology, Carlow",215,,,,
121,CW848,Digital Marketing with Analytics,"Institute of Technology, Carlow",269,,,,
122,CW858,"Sports Management and Coaching (options, portfolio)","Institute of Technology, Carlow",700,,,,
123,CW906,Business,"Institute of Technology, Carlow",164,,,,
124,CW908,Business (options),"Institute of Technology, Carlow",272,,,,
125,CW917,Business (options),"Institute of Technology, Carlow",228,,,,
126,CW926,Business with Law,"Institute of Technology, Carlow",204,,,,
127,CW936,Accounting,"Institute of Technology, Carlow",207,,,,
128,CW938,Business with Law,"Institute of Technology, Carlow",270,,,,
129,CW948,Accounting,"Institute of Technology, Carlow",319,,,,
130,PC402,Arts and Humanities,"Carlow College, St. Patrick`s",203,113,,,
131,PC404,Applied Social Studies - Professional Social Care,"Carlow College, St. Patrick`s",200,100,,,
132,PC405,"Social, Political and Community Studies","Carlow College, St. Patrick`s",263,235,,,
133,PC410,Arts and Humanities (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",262,230,,,
134,PC411,English and History (fulfils Teaching Council requirements),"Carlow College, St. Patrick`s",243,224,,,
135,CR001,Applied Physics and Instrumentation,Cork Institute of Technology,292,,,,
136,CR006,Applied Biosciences,Cork Institute of Technology,420,,,,
137,CR007,Analytical and Pharmaceutical Chemistry,Cork Institute of Technology,272,,,,
138,CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College and 3 days in CI,Cork Institute of Technology,336,,,,
139,CR016,Software Development,Cork Institute of Technology,351,,,,
140,CR021,Business (Common Entry),Cork Institute of Technology,253,,,,
141,CR022,Business Administration,Cork Institute of Technology,172,,,,
142,CR031,Social Care Work,Cork Institute of Technology,360,,,,
143,CR032,Recreation and Leisure Management,Cork Institute of Technology,343,,,,
144,CR035,Community Development,Cork Institute of Technology,133,,,,
145,CR041,Tourism Management,Cork Institute of Technology,212,180,,,
146,CR042,Hospitality Management,Cork Institute of Technology,205,,,,
147,CR046,Automotive Technology and Management,Cork Institute of Technology,227,,,,
148,CR051,Civil Engineering,Cork Institute of Technology,261,,,,
149,CR052,Construction,Cork Institute of Technology,270,,,,
150,CR053,Interior Architecture,Cork Institute of Technology,375,,,,
151,CR055,Environmental Engineering,Cork Institute of Technology,297,,,,
152,CR061,Electronic Engineering,Cork Institute of Technology,300,,,,
153,CR062,Electrical Engineering,Cork Institute of Technology,320,,,,
154,CR071,Mechanical Engineering,Cork Institute of Technology,263,,,,
155,CR075,Biomedical Engineering,Cork Institute of Technology,315,,,,
156,CR090,Architectural Technology,Cork Institute of Technology,308,,,,
157,CR094,Nautical Science at National Maritime College of Ireland,Cork Institute of Technology,256,,,,
158,CR095,Marine Engineering at National Maritime College of Ireland,Cork Institute of Technology,234,,,,
159,CR105,Chemical and Biopharmaceutical Engineering,Cork Institute of Technology,443,,,,
160,CR106,Software Development,Cork Institute of Technology,431,,,,
161,CR108,Mechanical Engineering,Cork Institute of Technology,434,,,,
162,CR109,Structural Engineering,Cork Institute of Technology,396,,,,
163,CR110,Automotive Business Management and Technology,Cork Institute of Technology,336,,,,
164,CR112,Creative Digital Media at CIT Crawford College of Art and Design,Cork Institute of Technology,390,,,,
165,CR116,Computer Systems,Cork Institute of Technology,365,,,,
166,CR121,Music at CIT Cork School of Music,Cork Institute of Technology,904,904,,,
