,COURSE CODE2,COURSE TITLE,HEI,R1 POINTS,R2 POINTS,EOS
0,AC120,International Business,American College,209,,209
1,AC137,Liberal Arts,American College,252,,252
2,AD101,"First Year Art & Design (Common Entry,portfolio)",National College of Art and Design,#+matric,,#+matric
3,AD102,Graphic Design and Moving Image Design (portfolio),National College of Art and Design,#+matric,,#+matric
4,AD103,Textile & Surface Design and Jewellery & Objects (portfolio),National College of Art and Design,#+matric,,#+matric
5,AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))",National College of Art and Design,#+matric,,#+matric
6,AD204,Fine Art (portfolio),National College of Art and Design,#+matric,,#+matric
7,AD211,Fashion Design (portfolio),National College of Art and Design,#+matric,,#+matric
8,AD212,Product Design (portfolio),National College of Art and Design,#+matric,,#+matric
9,AD215,Visual Culture,National College of Art and Design,377,320,320
10,AD217,Illustration (portfolio),National College of Art and Design,#+matric,,#+matric
11,AD222,Interaction Design (portfolio),National College of Art and Design,#+matric,,#+matric
12,AL600,Software Design,Athlone Institute of Technology,AQA,,104
13,AL601,Computer Engineering,Athlone Institute of Technology,AQA,219,112
14,AL602,Mechanical Engineering,Athlone Institute of Technology,AQA,,260
15,AL604,Civil Engineering,Athlone Institute of Technology,AQA,AQA,AQA
16,AL605,Music and Instrument Technology,Athlone Institute of Technology,AQA,AQA,154
17,AL630,Pharmacy Technician,Athlone Institute of Technology,295,,295
18,AL631,Dental Nursing,Athlone Institute of Technology,300,298,298
19,AL632,Applied Science,Athlone Institute of Technology,234,,234
20,AL650,Business,Athlone Institute of Technology,207,,207
21,AL660,Culinary Arts,Athlone Institute of Technology,AQA,AQA,112
22,AL661,Bar Supervision,Athlone Institute of Technology,AQA,AQA,101
23,AL663,Business (Sport and Recreation),Athlone Institute of Technology,AQA,AQA,120
24,AL701,Computer Engineering with Network Infrastructure,Athlone Institute of Technology,216,,216
25,AL702,Software Design with Artificial Intelligence for Cloud Computing,Athlone Institute of Technology,214,,214
26,AL703,Software Design with Virtual Reality and Gaming,Athlone Institute of Technology,216,,224
27,AL704,Computer Engineering,Athlone Institute of Technology,204,,204
28,AL705,Software Design with Mobile Apps and Connected Devices,Athlone Institute of Technology,216,,216
29,AL710,Mechanical Engineering,Athlone Institute of Technology,223,,223
30,AL711,Mechanical Engineering and Renewable Energy,Athlone Institute of Technology,228,,228
31,AL712,Automation and Robotics,Athlone Institute of Technology,252,,252
32,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),Athlone Institute of Technology,218,,218
33,AL718,Music and Sound Engineering,Athlone Institute of Technology,214,,216
34,AL721,Civil Engineering,Athlone Institute of Technology,233,,233
35,AL730,Biotechnology,Athlone Institute of Technology,250,,250
36,AL731,Veterinary Nursing,Athlone Institute of Technology,400,,400
37,AL734,Pharmaceutical Sciences (Drug Development and Analysis),Athlone Institute of Technology,244,,244
38,AL740,Exercise and Health Science,Athlone Institute of Technology,250,,250
39,AL751,Digital Marketing,Athlone Institute of Technology,241,,241
40,AL752,Business,Athlone Institute of Technology,225,,225
41,AL761,Hotel and Leisure Management,Athlone Institute of Technology,208,,208
42,AL763,Graphic Design (portfolio),Athlone Institute of Technology,781,,781
43,AL764,Early Years Care and Education,Athlone Institute of Technology,260,,260
44,AL765,Applied Social Studies in Social Care,Athlone Institute of Technology,280,,280
45,AL801,Software Design with Virtual Reality and Gaming,Athlone Institute of Technology,303,,303
46,AL802,Software Design with Artificial Intelligence for Cloud Computing,Athlone Institute of Technology,332,,332
47,AL803,Software Design with Mobile Apps and Connected Devices,Athlone Institute of Technology,337,,337
48,AL805,Computer Engineering with Network Infrastructure,Athlone Institute of Technology,333,,333
49,AL810,Quantity Surveying,Athlone Institute of Technology,319,,326
50,AL811,Civil Engineering,Athlone Institute of Technology,320,,320
51,AL820,Mechanical and Polymer Engineering,Athlone Institute of Technology,308,,308
52,AL830,General Nursing,Athlone Institute of Technology,442,,442
53,AL832,Psychiatric Nursing,Athlone Institute of Technology,387,384,384
54,AL836,Nutrition and Health Science,Athlone Institute of Technology,334,,334
55,AL837,Sports Science with Exercise Physiology,Athlone Institute of Technology,351,,351
56,AL838,Biotechnology,Athlone Institute of Technology,307,,307
57,AL839,Microbiology,Athlone Institute of Technology,325,,325
58,AL840,Pharmaceutical Sciences,Athlone Institute of Technology,347,,347
59,AL841,Athletic and Rehabilitation Therapy,Athlone Institute of Technology,430,,430
60,AL842,Bioveterinary Science,Athlone Institute of Technology,313,,313
61,AL843,Physical Activity and Health Science,Athlone Institute of Technology,306,,306
62,AL850,Business,Athlone Institute of Technology,309,,309
63,AL851,Business and Law,Athlone Institute of Technology,295,,295
64,AL852,Accounting,Athlone Institute of Technology,309,,309
65,AL854,Sport Management (with international placement),Athlone Institute of Technology,302,299,299
66,AL855,Hospitality Management (with international placement),Athlone Institute of Technology,308,,308
67,AL857,Digital Marketing,Athlone Institute of Technology,304,,304
68,AL860,Social Care Practice,Athlone Institute of Technology,300,,300
69,AL861,Animation and Illustration (portfolio),Athlone Institute of Technology,578,,578
70,AL863,Graphic and Digital Design (portfolio),Athlone Institute of Technology,781,,781
71,AL864,Early Years Care and Education,Athlone Institute of Technology,307,,307
72,AL870,Applied Psychology,Athlone Institute of Technology,418,,418
73,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",St. Angela`s College,510,,518
74,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",St. Angela`s College,441,434,434
75,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",St. Angela`s College,440,440,440
76,AS051,"Nutrition, Food and Business Management",St. Angela`s College,328,317,317
77,AS054,Home Economics,St. Angela`s College,408,398,398
78,AS110,General Nursing,St. Angela`s College,419,,419
79,AS130,Intellectual Disability Nursing,St. Angela`s College,336,328,317
80,CI001,Counselling Skills and Psychotherapy Studies,Irish College of Humanities & Applied Sciences,300,,300
81,CI002,Counselling Skills and Addiction Studies,Irish College of Humanities & Applied Sciences,309,,309
82,CI005,Counselling Skills and Youth Studies,Irish College of Humanities & Applied Sciences,306,302,302
83,CI110,Counselling and Psychotherapy,Irish College of Humanities & Applied Sciences,310,,310
84,CI111,Counselling and Addiction Studies,Irish College of Humanities & Applied Sciences,301,,301
85,CI112,Counselling and Youth Studies,Irish College of Humanities & Applied Sciences,311,,311
86,CK101,Arts - 3 years,University College Cork (NUI),300,,300
87,CK102,Social Science,University College Cork (NUI),412,,412
88,CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),University College Cork (NUI),302,,302
89,CK105,Film and Screen Media - 3 years or 4 years (International Pathway),University College Cork (NUI),368,337,319
90,CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),University College Cork (NUI),328,,328
91,CK108,Arts International - 4 years,University College Cork (NUI),401,,401
92,CK109,English - 3 years or 4 years (International Pathway),University College Cork (NUI),318,,318
93,CK110,World Languages,University College Cork (NUI),452,433,410
94,CK111,Early Years and Childhood Studies,University College Cork (NUI),419,,419
95,CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),University College Cork (NUI),330,,330
96,CK113,Criminology - 3 years or 4 years (International Pathway),University College Cork (NUI),423,,423
97,CK114,Social Science (Youth and Community Work) - 3 years,University College Cork (NUI),,,777
98,CK115,Social Work - Mature Applicants only,University College Cork (NUI),,,999
99,CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),University College Cork (NUI),336,,336
100,CK120,Applied Psychology,University College Cork (NUI),533,532,531
101,CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),University College Cork (NUI),466,,466
102,CK122,Government and Political Science,University College Cork (NUI),337,328,326
103,CK123,Anthropology,University College Cork (NUI),308,,308
104,CK124,Education - Gaeilge,University College Cork (NUI),463,462,452
105,CK125,Sports Studies and Physical Education,University College Cork (NUI),510,509,509
106,CK201,Commerce,University College Cork (NUI),477,,477
107,CK202,Accounting,University College Cork (NUI),509,,509
108,CK203,Business Information Systems,University College Cork (NUI),430,,430
109,CK204,Finance,University College Cork (NUI),556,,556
110,CK205,Commerce (International) with French,University College Cork (NUI),445,,445
111,CK206,Commerce (International) with German,University College Cork (NUI),420,418,418
112,CK207,Commerce (International) with Italian,University College Cork (NUI),388,,388
113,CK208,Commerce (International) with Hispanic Studies,University College Cork (NUI),402,,402
114,CK209,Commerce (International) with Irish,University College Cork (NUI),484,,484
115,CK211,Commerce (International) with Chinese Studies,University College Cork (NUI),397,,397
116,CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,University College Cork (NUI),444,,444
117,CK213,Food Marketing and Entrepreneurship,University College Cork (NUI),462,,462
118,CK214,International Development,University College Cork (NUI),346,,346
119,CK301,Law (Pathways) -  3 or 4 years,University College Cork (NUI),507,499,498
120,CK302,Law and French,University College Cork (NUI),542,,542
121,CK304,Law and Irish,University College Cork (NUI),540,,540
122,CK307,Law and Business,University College Cork (NUI),556,,556
123,CK401,Computer Science,University College Cork (NUI),468,,468
124,CK402,Biological and Chemical Sciences,University College Cork (NUI),510,509,509
125,CK404,"Biological, Earth and Environmental Sciences",University College Cork (NUI),467,,465
126,CK405,Genetics,University College Cork (NUI),487,,487
127,CK406,Chemical Sciences,University College Cork (NUI),485,472,462
128,CK407,Mathematical Sciences,University College Cork (NUI),566,565,565
129,CK408,Physics and Astrophysics,University College Cork (NUI),554,542,531
130,CK409,Industrial Physics - Offered jointly by UCC and CIT,University College Cork (NUI),432,,432
131,CK411,Data Science and Analytics,University College Cork (NUI),510,,509
132,CK412,Agricultural Science,University College Cork (NUI),496,496,489
133,CK504,Nutritional Sciences,University College Cork (NUI),518,,517
134,CK505,Food Science,University College Cork (NUI),441,440,420
135,CK600,Engineering,University College Cork (NUI),487,,487
136,CK606,Architecture - Offered jointly by UCC and CIT,University College Cork (NUI),484,476,469
137,CK701,Medicine (Undergraduate Entry - HPAT required),University College Cork (NUI),731,,731
138,CK702,Dentistry,University College Cork (NUI),613,613,613
139,CK703,Pharmacy,University College Cork (NUI),590,589,589
140,CK704,Occupational Therapy,University College Cork (NUI),566,555,555
