,Course Code,Course Title,HEI,R1 Points,R2 Points ,EOS Points
29,AL801,Software Design for Virtual Reality and Gaming,Athlone Institute of Technology,300,,300
30,AL802,Software Design in Artificial Intelligence for Cloud Computing,Athlone Institute of Technology,313,,313
31,AL803,Software Design for Mobile Apps and Connected Devices,Athlone Institute of Technology,350,,350
32,AL805,Computer Engineering for Network Infrastructure,Athlone Institute of Technology,321,,321
33,AL810,Quantity Surveying,Athlone Institute of Technology,328,,328
34,AL811,Civil Engineering,Athlone Institute of Technology,,,
35,AL820,Mechanical and Polymer Engineering,Athlone Institute of Technology,327,,327
36,AL830,General Nursing,Athlone Institute of Technology,451,444,440
37,AL832,Mental Health Nursing,Athlone Institute of Technology,440,431,431
38,AL835,Pharmacology,Athlone Institute of Technology,356,,356
39,AL836,Nutrition and Health Science,Athlone Institute of Technology,346,,346
40,AL837,Sports Science with Exercise Physiology,Athlone Institute of Technology,357,,357
41,AL838,Biotechnology,Athlone Institute of Technology,324,,324
42,AL839,Microbiology,Athlone Institute of Technology,325,,325
43,AL840,Pharmaceutical Sciences,Athlone Institute of Technology,346,,346
44,AL841,Athletic and Rehabilitation Therapy,Athlone Institute of Technology,477,476,462
45,AL842,Bioveterinary Science,Athlone Institute of Technology,338,,338
46,AL843,Physical Activity and Health Science,Athlone Institute of Technology,306,,306
47,AL849,Culinary Entrepreneurship,Athlone Institute of Technology,297,,297
48,AL850,Business,Athlone Institute of Technology,309,,309
49,AL851,Business and Law,Athlone Institute of Technology,302,,302
50,AL852,Accounting,Athlone Institute of Technology,336,,336
51,AL854,Sport Management (with international placement),Athlone Institute of Technology,300,299,299
52,AL855,Hospitality Management (with international placement),Athlone Institute of Technology,309,,309
53,AL857,Digital Marketing,Athlone Institute of Technology,304,,304
54,AL859,International Business,Athlone Institute of Technology,308,,308
55,AL860,Social Care Practice,Athlone Institute of Technology,301,,301
56,AL861,Animation and Illustration (portfolio),Athlone Institute of Technology,575,,575
57,AL863,Graphic and Digital Design (portfolio),Athlone Institute of Technology,747,,747
58,AL864,Early Years Care and Education,Athlone Institute of Technology,306,,306
59,AL870,Applied Psychology,Athlone Institute of Technology,484,467,452
61,CW018,Business (options),"Institute of Technology, Carlow",307,,307
63,CW028,Early Childhood Education and Care,"Institute of Technology, Carlow",260,,260
65,CW038,Art (portfolio),"Institute of Technology, Carlow",#700,,700
67,CW048,Creative Computing and Digital Innovation,"Institute of Technology, Carlow",,,
69,CW058,Tourism and Event Management,"Institute of Technology, Carlow",292,,292
70,CW068,Applied Social Studies in Professional Social Care,"Institute of Technology, Carlow",250,,250
72,CW078,Sustainable Farm Management and Agribusiness,"Institute of Technology, Carlow",270,,270
74,CW088,Visual Communications and Design,"Institute of Technology, Carlow",270,,270
77,CW108,Science (options),"Institute of Technology, Carlow",266,,266
81,CW128,Brewing and Distilling,"Institute of Technology, Carlow",307,,307
